episode,scenario,seed,avg_wait_time,flow_rate,co2_emissions,emergency_response_time,total_collisions,collision_avoided,q_states,epsilon
1,normal,20260438,11.8,7,54.98,21.8,15,0,7,0.2412
2,rush_hour,20260575,8.2,7,150.11,0,88,0,11,0.2318
3,accident,20260712,15.6,2,46.09,0,25,0,12,0.2249
4,emergency,20260849,15.6,5,59.15,23.9,22,0,12,0.2161
5,normal,20260986,18,5.5,52.97,3,17,0,12,0.2089
6,rush_hour,20261123,2.7,9.5,142.82,0,86,0,13,0.2006
7,accident,20261260,20.2,2.5,51.48,2,25,0,13,0.1941
8,emergency,20261397,19.4,4,57.97,21.5,22,0,13,0.1879
9,normal,20261534,11.8,6.5,56.36,8.6,17,0,13,0.1823
10,rush_hour,20261671,6.2,6.5,148.46,24.4,89,0,14,0.1758
11,accident,20261808,12.1,2.5,49.93,61.4,25,0,14,0.1711
12,emergency,20261945,16.6,6.5,81.03,8.9,21,0,14,0.166
13,normal,20262082,12.6,7.5,49.84,1.2,15,0,14,0.1601
14,rush_hour,20262219,6,13.5,148.88,1.2,81,0,14,0.154
15,accident,20262356,15.8,2.5,49.68,0,26,0,14,0.1497
16,emergency,20262493,12.8,6.5,55.4,11.7,19,0,14,0.1444
17,normal,20262630,14.7,5,49.67,0,18,0,14,0.1388
18,rush_hour,20262767,6.6,14.5,153.96,6.1,81,0,14,0.1334
19,accident,20262904,13.9,6,56.88,0,22,0,14,0.1289
20,emergency,20263041,19.7,6,70.89,42.1,20,0,14,0.1239
